"member_casual","month_num","month_desc","count"
"casual","1","January","23606"
"casual","2","February","45934"
"casual","3","March","80200"
"casual","4","April","127420"
"casual","5","May","222777"
"casual","6","June","289379"
"casual","7","July","321005"
"casual","8","August","302154"
"casual","9","September","254708"
"casual","10","October","172259"
"casual","11","November","95882"
"casual","12","December","50334"
"member","1","January","116421"
"member","2","February","172675"
"member","3","March","214320"
"member","4","April","276637"
"member","5","May","369865"
"member","6","June","401883"
"member","7","July","424657"
"member","8","August","449239"
"member","9","September","396040"
"member","10","October","352191"
"member","11","November","258660"
"member","12","December","168585"
