"member_casual","day_of_week","day_num","ride_minutes"
"casual","Sunday","0","23.8983651601921440"
"casual","Monday","1","20.0687998782793923"
"casual","Tuesday","2","18.2199761486533030"
"casual","Wednesday","3","17.5817036762840375"
"casual","Thursday","4","17.3234248480289507"
"casual","Friday","5","19.4122643428299829"
"casual","Saturday","6","23.1578632072671139"
"member","Sunday","0","13.7775993890433171"
"member","Monday","1","11.7333708763159525"
"member","Tuesday","2","11.8630444000307205"
"member","Wednesday","3","11.8059605023205967"
"member","Thursday","4","11.6938615050390291"
"member","Friday","5","12.0377193435462380"
"member","Saturday","6","13.5853902525821856"
